track_id,artist_name,track_title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,Walking On Sunshine,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733
7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280
2nXM8IVqKtyO6JKsLlXWAy,The Lumineers,Ho Hey,0.684,0.47,0,-9.088,1,0.0325,0.802,0.0,0.0711,0.381,79.934,163133
3HRQtRUYnnuZY7fE900XtJ,Journey,Don't Stop Believin',0.495,0.781,4,-8.109,1,0.0413,0.254,0.0,0.395,0.473,119.206,248200
22c2pt75xtnDddA5Zlm0yy,Smash Mouth,All Star,0.73,0.862,11,-5.876,1,0.0313,0.0398,0.0,0.0818,0.77,104.018,200560
5R9a4t5t5O0IsznsrKPVro,Beyoncé,Single Ladies (Put a Ring on It),0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213
7ksYJ95P5vP87A0GH34CIk,Jason Derulo,Ridin' Solo,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747
03oZejWqXLbKhhM4iTgShq,One Direction,What Makes You Beautiful,0.726,0.778,4,-2.483,1,0.0784,0.00851,0.0,0.082,0.868,125.0,198840
20I6sIOMTCkB6w7ryavxtO,Carly Rae Jepsen,Call Me Maybe,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400
6RgGppm2SSX5p246UqfdEi,Lynyrd Skynyrd,Sweet Home Alabama,0.609,0.661,7,-9.549,1,0.0252,0.0915,0.000482,0.254,0.892,97.93,284413
3X7abqSXC4xrxuC1ykpWcY,Bon Jovi,Livin' On A Prayer,0.522,0.882,0,-3.216,1,0.0359,0.0599,0.00021,0.33,0.815,122.541,250627
2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133
5e3l460eVGMNqQgFc9Rv7q,"Earth, Wind & Fire",September,0.692,0.803,9,-8.627,1,0.0301,0.151,0.000808,0.181,0.981,125.919,215067
66AiuTr5v9tw6B8gXau2aU,Vanilla Ice,Ice Ice Baby,0.949,0.876,0,-6.472,1,0.0567,0.0128,0.0,0.124,0.483,117.579,250413
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,Say Something,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400
2Fs18NaCDuluPG1DHGw1XG,Rascal Flatts,Life is a Highway,0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027,276320
7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734
43btz2xjMKpcmjkuRsvxyg,John Mellencamp,Jack & Diane,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493
7woZGXjtaYwuvSoU1zToB3,Tom Petty,Free Fallin',0.617,0.435,5,-13.547,1,0.0256,0.178,0.0,0.0822,0.601,84.382,256667
4rsW3WCZBGwhHfJWuHRwyT,Phillip Phillips,Home,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173
4dGJf1SER1T6ooX46vwzRB,Zac Brown Band,Chicken Fried,0.566,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864,238147
0kN3oXYWWAk1uC0y2WoyOE,Taylor Swift,Love Story,0.618,0.736,2,-3.937,1,0.0308,0.157,0.0,0.073,0.307,118.982,235280
3xdjjKMcMOFgo1eQrfbogM,Darius Rucker,Wagon Wheel,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373
2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Take on Me,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280
3cHyrEgdyYRjgJKSOiOtcS,Pitbull,Timber (feat. Ke$ha),0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160
4uUwD0uYzIDjKMKQglzmD2,Alabama,Song of the South,0.486,0.647,9,-8.066,1,0.0337,0.189,0.0,0.305,0.628,162.218,190747
4swEkkLocrQ569W1lYIbdX,Alabama,Dixieland Delight - Single Edit,0.464,0.405,7,-12.538,1,0.033,0.208,1.1e-05,0.0749,0.514,95.852,235915
7lJSxSUUlrZ7CxiyO3X0vq,Train,"Hey, Soul Sister",0.666,0.868,1,-6.188,0,0.0407,0.166,0.0,0.0828,0.806,97.039,217547
4356Typ82hUiFAynbLYbPn,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,220800
4esOae7i4rqTbAu9o5Pxco,Alicia Keys,Girl on Fire,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,224920
7l1qvxWjxcKpB9PCtBuTbU,Bruno Mars,Count on Me,0.589,0.389,0,-5.972,1,0.028,0.851,0.0,0.0772,0.501,89.1,197470
22PMfvdz35fFKYnJyMn077,Bruno Mars,Marry You,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905,230192
3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Locked out of Heaven,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478
0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars,Versace on the Floor,0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152,261240
2tJulUYLDKOg9XrtVkMgcJ,Bruno Mars,Grenade,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,222091
1ExfPZEiahqhLyajhybFeS,Bruno Mars,The Lazy Song,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,189109
3JvrhDOgAt6p7K8mDyZwRd,Vance Joy,Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280
5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,I'm Yours,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242947
4tM7IvirymOPAk74Us27kD,Bryan J,Let Me Take You Out,0.705,0.63,8,-5.842,1,0.056,0.157,0.0,0.108,0.641,139.957,225707
4E5P1XyAFtrjpiIxkydly4,Iyaz,Replay,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307
1Q1jlFs004vwB0DOznii3K,T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),0.691,0.543,1,-8.161,1,0.143,0.0112,0.0,0.098,0.587,80.047,230853
5rb9QrpfcKFHM1EUbSIurX,Usher,Yeah! (feat. Lil Jon & Ludacris),0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,250373
6ND2f7SUjYNpLqL0WPcNT1,Jay Sean,Down,0.654,0.684,2,-4.509,1,0.032,0.0108,0.0,0.0768,0.7,66.001,212280
3E7dfMvvCLUddWissuqMwr,Miley Cyrus,Party In The U.S.A.,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067
6OEolOOk9Gh9bqkdpfIOl0,Jason Derulo,Ridin' Solo,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,215747
4X3FiBn7cd88I3MVtph9By,Chris Brown,Forever,0.669,0.822,11,-4.288,1,0.043,0.0339,0.000142,0.231,0.43,120.011,277107
6HkjpGIOHv4y0IBAxUbE5z,Lady Gaga,Just Dance,0.822,0.737,1,-4.542,0,0.0314,0.0261,4.19e-05,0.18,0.753,118.994,241933
5OMwQFBcte0aWFJFqrr5oj,Kesha,TiK ToK,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693
6JV2JOEocMgcZxYSZelKcc,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,236002
6Knv6wdA0luoMUuuoYi2i1,Flo Rida,My House,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191
5AhDb4oM6f4YmHPXW123Fg,The Soggy Bottom Boys,"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",0.568,0.308,5,-13.063,1,0.0274,0.69,0.0,0.104,0.721,85.917,190000
0x5EMnC2M9pDTAAStksrDt,Gillian Welch,"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",0.684,0.253,2,-13.561,1,0.0341,0.985,0.0317,0.118,0.521,102.94,237867
4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080
3oW6SWwGqiZSPTiAp7ZQoH,Travis Tritt,It's A Great Day To Be Alive,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,241533
77NNZQSqzLNqh2A9JhLRkg,Journey,Don't Stop Believin',0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,248907
0PGwM5vdr5fMejx0IIAYXj,The Jackson 5,I Want You Back,0.674,0.584,8,-8.204,1,0.0318,0.466,0.00195,0.187,0.96,98.293,180893
